Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
Big Sky Labs,7/26/2021,"$1,000,000",,Seed,,https://www.geekwire.com/2021/seattle-area-startup-building-pill-dispenser-reminds-people-take-medicine/
Sila,7/26/2021,"$13,000,000","$20,700,000",A,Revolution Ventures,https://www.businesswire.com/news/home/20210726005117/en/Sila-Secures-13-Million-in-Series-A-Funding-Led-by-Revolution-Ventures
Tovuti,7/23/2021,"$8,000,000",,A,"Blueprint Equity, ScOp Venture Capital",https://www.prnewswire.com/news-releases/tovuti-lms-announces-8-million-series-a-funding-round-301339986.html
OpenSesame,7/23/2021,"$50,000,000","$107,400,000",,JMI Equity,https://www.geekwire.com/2021/online-learning-startup-opensesame-raises-50m-shift-remote-work-drives-demand/
Picnic,7/21/2021,"$4,200,000","$25,500,000",A,,https://www.geekwire.com/2021/picnic-raises-4-2m-seattle-food-automation-startup-attracts-interest-pizza-robot/
Stack Moxie,7/20/2021,"$875,000",,Pre-Seed,,https://www.geekwire.com/2021/testing-automation-platform-stack-moxie-raises-cash-leverages-startup-support-networks/
Kno2,7/19/2021,"$15,000,000",,A,Providence Ventures,https://www.geekwire.com/2021/providence-backed-kno2-raises-15m-healthcare-communication-tech/
Shape Therapeutics,7/16/2021,"$112,000,000",,B,"Decheng Capital, Breton Capital",https://www.geekwire.com/2021/seattle-based-shape-therapeutics-raises-112m-develop-rna-editing-gene-therapies/
Give InKind,7/16/2021,"$500,000",,,,https://www.geekwire.com/2021/give-inkind-aims-make-giving-easier-lands-funding-expand-healthcare-partnerships/
Visualping,7/16/2021,"$6,000,000","$8,000,000",Seed,FUSE,https://www.geekwire.com/2021/visualping-raises-6m-bolster-services-targeting-businesses-using-web-monitoring-tools/
MajorBoost,7/15/2021,"$3,500,000",,Pre-Seed,AI2,https://www.geekwire.com/2021/ai2-spinout-majorboost-uses-artificial-intelligence-help-medical-providers-deal-insurance-calls/
Modulus,7/15/2021,"$3,500,000",,Seed,Madrona Venture Group,https://www.geekwire.com/2021/modulus-cell-therapy-biotech-incubated-allen-institute-ai-raises-3-5m/
Amperity,7/13/2021,"$100,000,000","$187,000,000",D,HighSage Ventures,https://www.geekwire.com/2021/amperity-seattles-latest-unicorn-100m-round-supercharge-customer-data-platform/
Zeitworks,7/7/2021,"$2,000,000","$6,500,000",,"Jazz Ventures, Madrona Venture Group",https://www.geekwire.com/2021/madrona-venture-labs-spinout-zeitworks-raises-2m-taps-seattle-tech-vet-jay-bartot-new-ceo/
WellSaid Labs,7/7/2021,"$10,000,000","$12,000,000",A,Fuse,https://www.geekwire.com/2021/wellsaid-labs-raises-10-million-boost-synthetic-voice-business-fueled-ai/
Sendle,6/24/2021,"$35,000,000",,C,AP Ventures,https://www.geekwire.com/2021/e-commerce-startup-sendle-raises-35m-connect-small-biz-unused-space-delivery-trucks/
